name,features,cost
Goa,beach nightlife party sea,5000
Manali,mountain snow adventure trekking,4000
Shimla,mountain snow nature cold,3500
Leh Ladakh,adventure mountain bike roadtrip snow,7000
Rishikesh,adventure rafting yoga spiritual,4000
Varanasi,temple spiritual ghat culture,3000
Haridwar,temple spiritual river holy,2500
Jaipur,heritage palace desert culture,3500
Udaipur,heritage lake palace romantic,4000
Jaisalmer,desert safari camel heritage,4500
Kerala,nature backwaters greenery boat,4500
Munnar,nature hills tea garden peaceful,4000
Ooty,nature hills cold tea garden,3500
Coorg,nature coffee hills greenery,4000
Andaman,beach island scuba diving sea,7000
Lakshadweep,beach island coral scuba,7500
Mumbai,city nightlife food film,6000
Delhi,city heritage food market,3000
Bangalore,city tech nightlife garden,5000
Hyderabad,city food heritage biryani,4000
Chennai,beach temple city culture,3500
Kolkata,city culture heritage food,3000
Darjeeling,hills tea garden mountain,4000
Gangtok,mountain nature peaceful hills,4500
Sikkim,nature mountain peaceful snow,5000
Meghalaya,nature waterfall hills clouds,5000
Shillong,nature hills music peaceful,4500
Kaziranga,wildlife safari forest animals,5000
Jim Corbett,wildlife safari tiger forest,4500
Ranthambore,wildlife safari tiger jungle,5000
Agra,heritage taj mahal history,3000
Mathura,temple spiritual krishna culture,2500
Vrindavan,temple spiritual devotion,2500
Amritsar,temple golden temple food,3500
Dharamshala,mountain spiritual monastery,4000
Spiti Valley,adventure cold desert mountain,7000
Kodaikanal,hills nature lake peaceful,3500
Pondicherry,beach french culture peaceful,4000
Hampi,heritage ruins history architecture,3500
Badrinath,temple pilgrimage mountain,5000
Kedarnath,temple pilgrimage trekking mountain,6000
Tirupati,temple pilgrimage south india,4000
Madurai,temple architecture culture,3500